,0
0,1.139039
1,1.157759
2,1.161599
3,1.096799
4,1.090559
5,1.0910389999999999
6,1.085279
7,1.064639
8,1.0828790000000001
9,1.104479
10,1.107359
11,1.080959
12,1.088639
13,1.0828790000000001
14,1.071359
15,1.0684790000000002
16,1.045919
17,1.076159
18,1.090079
19,1.088159
20,1.1030389999999999
21,1.142399
22,1.139039
23,1.103999
24,1.111679
25,1.116479
26,1.078559
27,1.075199
28,1.0651190000000001
29,1.073279
30,1.0948790000000002
31,1.105919
32,1.148159
33,1.152959
34,1.142879
35,1.148159
36,1.2076790000000002
37,1.283519
38,1.247999
39,1.300799
40,1.328639
41,1.303199
42,1.3228790000000001
43,1.269599
44,1.239359
45,1.257119
46,1.232159
47,1.241279
48,1.241279
49,1.213919
50,1.223999
51,1.289759
52,1.297919
53,1.339679
54,1.340159
55,1.297919
56,1.301279
57,1.319999
58,1.359359
59,1.335839
60,1.3108790000000001
61,1.321439
62,1.345919
63,1.2926389999999999
64,1.2787190000000002
65,1.406399
66,1.400639
67,1.3607989999999999
68,1.3310389999999999
69,1.3310389999999999
70,1.333439
71,1.329599
72,1.302239
73,1.2931190000000001
74,1.269599
75,1.284959
76,1.237439
77,1.251359
78,1.2547190000000001
79,1.279199
80,1.275839
81,1.280159
82,1.261439
83,1.302719
84,1.3103989999999999
85,1.3051190000000001
86,1.2988790000000001
87,1.2787190000000002
88,1.2988790000000001
89,1.270559
90,1.2820790000000002
91,1.301279
92,1.312319
93,1.363679
94,1.368479
95,1.352159
96,1.3468790000000002
97,1.3468790000000002
98,1.388159
99,1.363199
100,1.3814389999999999
101,1.430879
102,1.456799
103,1.449599
104,1.475518
105,1.445759
106,1.473119
107,1.571518
108,1.5748790000000001
109,1.5796780000000001
110,1.551839
111,1.583999
112,1.617599
113,1.592638
114,1.617599
115,1.559518
116,1.559999
117,1.5619180000000001
118,1.550399
119,1.491839
120,1.485599
121,1.458719
122,1.446719
123,1.441439
124,1.398719
125,1.4025590000000001
126,1.4198389999999999
127,1.580639
128,1.545599
129,1.534559
130,1.545599
131,1.517759
132,1.520638
133,1.4735989999999999
134,1.5004790000000001
135,1.556638
136,1.548959
137,1.566718
138,1.552318
139,1.515839
140,1.501918
141,1.525918
142,1.5067190000000001
143,1.429438
144,1.454399
145,1.512959
146,1.488479
147,1.457759
148,1.480319
149,1.477438
150,1.481759
151,1.523519
152,1.474078
153,1.478399
154,1.491839
155,1.533599
156,1.586399
157,1.6636790000000001
158,1.6487990000000001
159,1.637759
160,1.655519
161,1.721279
162,1.7116790000000002
163,1.691038
164,1.716478
165,1.7447990000000002
166,1.713598
167,1.7217580000000001
168,1.708318
169,1.703518
170,1.689598
171,1.7447990000000002
172,1.782719
173,1.810079
174,1.8244779999999998
175,1.7721580000000001
176,1.7889580000000005
177,1.7899180000000001
178,1.801438
179,1.825918
180,1.856638
181,1.859998
182,1.8561580000000002
183,1.8619189999999999
184,1.8897580000000005
185,1.950718
186,1.9017580000000005
187,1.8748790000000002
188,1.8523180000000001
189,1.837918
190,1.9079979999999999
191,2.1590380000000002
192,2.183998
193,2.291998
194,2.276158
195,2.2785580000000003
196,2.301118
197,2.2756790000000002
198,2.282398
199,2.3025580000000003
200,2.414397
201,2.505118
202,2.515198
203,2.5175970000000003
204,2.567997
205,2.654878
206,2.613597
207,2.626557
208,2.6102369999999997
209,2.594398
210,2.627998
211,2.654398
212,2.663997
213,2.6515169999999997
214,2.637118
215,2.635198
216,2.658718
217,2.648158
218,2.944798
219,2.940957
220,3.0743970000000003
221,3.0983970000000003
222,3.2851169999999996
223,3.218397
224,3.253917
225,3.1300779999999997
226,3.008637
227,3.157437
228,3.0187169999999997
229,3.0374380000000003
230,3.0715169999999996
231,3.127198
232,3.1156770000000003
233,3.133917
234,3.132477
235,3.196797
236,3.1195169999999997
237,3.010557
238,3.057117
239,3.059997
240,3.072478
241,3.031677
242,3.080637
243,3.093117
244,3.1103970000000003
245,3.091198
246,3.0379169999999998
247,3.069117
248,3.095998
249,3.0983970000000003
250,3.3239970000000003
251,3.3100769999999997
252,3.098877
253,3.142077
254,3.350397
255,3.369596
256,3.391196
257,3.3542370000000004
258,3.3820769999999998
259,3.383517
260,3.3964760000000003
261,3.458397
262,3.467997
263,3.4867169999999996
264,3.551036
265,3.6911959999999997
266,3.7214379999999996
267,3.8222370000000003
268,3.7348760000000003
269,3.7843160000000013
270,3.7891160000000004
271,3.883196
272,3.779516000000001
273,3.7612769999999998
274,3.898076
275,4.062236
276,4.243675
277,4.326236
278,4.214875
279,4.166875
280,4.093917
281,4.235035
282,4.268636
283,4.271515
284,4.306555
285,4.2719949999999995
286,4.2355160000000005
287,4.011835
288,4.109756
289,4.1039959999999995
290,3.8908769999999997
291,3.777596
292,3.8236769999999995
293,3.8659169999999996
294,3.870717
295,3.932157
296,3.9532760000000002
297,4.0559959999999995
298,4.124156
299,4.195197
300,4.111676
301,4.084796
302,4.0799959999999995
303,4.082875
304,4.007996
305,4.108795
306,4.000317
307,3.925436
308,3.944636
309,4.0214360000000005
310,4.063675
311,4.181756
312,4.199038
313,4.024318
314,4.095356
315,3.939836
316,3.576957
317,3.393597
318,3.419518
319,3.5606370000000003
320,3.408956
321,3.5692769999999996
322,3.407997
323,3.5500760000000002
324,3.4742370000000005
325,3.451197
326,3.411836
327,3.461757
328,3.4972769999999995
329,3.4761559999999996
330,3.566396
331,3.5212760000000003
332,3.575036
333,3.549117
334,3.496317
335,3.418558
336,3.2764759999999997
337,3.337917
338,3.4127959999999997
339,3.394557
340,3.440637
341,3.604796
342,3.604796
343,3.816956
344,3.811196
345,3.8188769999999996
346,3.9110370000000003
347,3.8937559999999998
348,3.816956
349,3.868796
350,3.843837
351,3.671037
352,3.640317
353,3.5078370000000003
354,3.5443160000000002
355,3.6143959999999997
356,3.437757
357,3.446396
358,3.455997
359,3.5644760000000004
360,3.6460769999999996
361,3.6777559999999996
362,3.610556
363,3.634556
364,3.700796
365,3.733436
366,3.6249580000000003
367,3.561597
368,3.581757
369,3.491518
370,3.533756
371,3.503996
372,3.6460769999999996
373,3.589437
374,3.6124769999999997
375,3.671996
376,3.657596
377,3.671037
378,3.681597
379,3.911996
380,3.988796
381,3.9830360000000002
382,4.146236
383,4.188477
384,4.155836
385,4.2239949999999995
386,4.205755
387,4.188477
388,4.2230360000000005
389,4.204797
390,4.094397
391,4.1039959999999995
392,4.146236
393,4.1491169999999995
394,4.100156
395,4.127035
396,4.094397
397,4.206716
398,4.1644760000000005
399,4.2239949999999995
400,4.425596
401,4.577275
402,4.439997
403,4.526396
404,4.444796
405,4.399676
406,4.4035160000000015
407,4.391036
408,4.393917
409,4.421755999999999
410,4.391036
411,4.400636
412,4.470716
413,4.501435
414,4.440956
415,4.437115
416,4.6847959999999995
417,4.673275
418,4.778875
419,4.925756
420,4.934394999999999
421,4.878716000000002
422,4.762555
423,4.787516
424,4.916154
425,5.0534349999999995
426,5.106236
427,5.002555
428,4.9823949999999995
429,5.107194
430,5.168635
431,5.130236
432,4.903676
