,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,77.50565338,91.17454529,0,101.3302536,158.4516296,105.6581192,46.73039627,61.82855606,133.3071289,41.17551422,32.57354736,20.74004745,86.76859283,46.55797577,64.60391998,0,68.79483032
1,21.85331535,10.83355045,46.4035759,78.88166046,25.15355682,63.37374496,85.38542938,86.18743896,32.13964844,20.04322052,36.48781586,75.64519501,78.70623016,29.20604706,0,3.852241755,63.95821762
2,70.03845215,31.9140892,0,69.21894836,114.0796967,51.90151596,7.957871437,103.0684509,84.84532928,35.99902725,91.6949234,115.335907,49.37138367,86.34256744,80.10865021,6.501597404,42.98457718
3,0,17.00322723,57.02166748,82.09337616,125.7024002,61.90947723,84.39830017,83.59150696,26.1792202,66.00580597,83.35680389,81.9804306,126.09272,50.07043457,17.48730469,0,92.19038391
4,73.52962494,96.03859711,33.11603165,59.56541443,59.49330521,38.40354538,40.15221405,100.5854645,31.10808945,63.49442673,81.42502594,40.79462814,33.75455475,14.41001415,39.16006851,27.02698135,109.4022675
5,53.80415726,38.83977509,78.21915436,43.49498367,43.77347565,26.36276054,27.38674736,29.35121727,30.18569374,46.12151337,73.6856308,90.39787292,0,43.00157928,7.850056171,0,46.90554428
6,49.98030853,38.13468933,115.0033112,59.67300415,89.19075012,57.76000977,0,0.411667407,25.0077076,71.94468689,64.45285797,79.2123642,49.48038101,71.33877563,54.7672348,6.836553574,39.3038063
7,36.62060547,92.77839661,104.9804459,67.51304626,36.81525803,66.96643066,21.61539268,28.56489563,0,32.93128967,44.52303314,17.1685276,122.2492218,43.83601761,43.01563263,14.09915352,69.0544281
8,87.81417084,121.4342651,75.81034088,62.91331482,38.48564148,73.08781433,61.84109879,85.1322403,18.98785591,0,0,40.08823013,43.94413376,73.60479736,9.26229763,17.66249275,0
9,44.04415512,59.64981079,60.07444382,40.62013245,39.17513657,52.37709427,22.59265709,77.79415131,41.99126053,0,66.13483429,62.9306488,19.25880623,107.4303131,78.12445831,26.02667809,5.826271534
10,39.76898956,66.31638336,78.85319519,0,85.22074127,56.679039,58.73765182,71.31079102,28.01047516,44.05189514,23.60680771,46.28411484,95.27246857,151.5794983,33.40807343,35.64203262,25.68331146
11,105.1641693,110.7414932,45.05384445,38.59300232,89.71738434,24.01210976,66.68737793,45.62453461,68.24941254,38.33090591,42.87115479,0,89.8585434,21.40416718,40.35048294,38.10613251,44.57596207
12,53.86008835,49.90820313,63.9102478,76.21491241,68.84390259,82.04076385,100.6539993,69.82202911,77.1010437,22.50881004,0,53.95009995,0,54.07284927,23.6434021,35.5293045,30.5254879
13,63.88232803,0.425522327,26.08324814,47.53070831,24.92973328,65.05313873,0,20.55644989,76.06962585,18.96162224,69.36562347,75.45464325,77.7607193,74.60198975,51.21577072,1.022916794,19.5073204
14,0,29.09911537,50.15466309,60.89906311,75.81845093,40.85459518,55.44051361,85.28298187,20.14220428,43.49759674,22.88876534,32.68642044,134.1590729,53.655056,54.09054947,27.69689369,52.73731613
15,95.63168335,64.52879333,0,42.91117859,105.4278183,49.08436203,51.61815643,97.06097412,51.61437988,30.19156647,48.29837799,38.76561356,115.4917221,30.87262726,27.11362076,22.16552162,69.51878357
16,7.215352058,31.52805519,34.40891266,85.95953369,73.74500275,24.33934212,77.64447021,88.27475739,70.26628876,28.24464417,51.01309967,81.79670715,32.68013,35.65245438,21.09399796,0,52.59490585
17,44.13473129,30.90146446,25.59282303,34.35352707,84.42007446,60.06292725,6.787944317,72.11508179,24.46144295,73.85517883,65.76186371,90.21846008,6.762243271,62.12744904,48.88246918,19.16097069,81.43426514
18,14.36760998,31.44714737,81.8949585,24.03086853,42.58162689,30.62380028,48.24705887,19.91405678,31.66080856,59.22009659,94.53561401,65.48062897,43.70157623,58.80551147,5.912000656,0,62.86648178
19,67.08459473,55.5263443,68.67346954,43.63005447,43.0591774,21.79999161,2.369333267,37.95661163,16.16066933,74.01879883,34.15326691,44.28736877,50.12874603,7.483401299,59.70786285,42.00826645,45.21489716
20,60.88864136,20.83438492,74.75252533,41.90187454,57.44237137,72.51947021,16.79078293,0,17.90534019,16.71784592,14.61210728,49.18948746,48.00040817,52.31319046,3.676909924,0.409335434,18.80352974
21,18.36449432,67.68270111,51.802742,83.30989838,31.19124031,33.98637009,0,34.51146698,5.72163105,17.4319706,47.56619263,28.45619965,104.9938431,25.463274,48.92023087,0,23.72638321
22,27.76181602,70.20471191,37.48780823,35.48314667,38.7979126,67.82157135,31.17340469,88.24967194,0,4.456401348,0,32.16193008,54.2855072,64.18125916,28.76070976,18.88038063,29.72989082
23,33.81684875,68.47590637,36.57481384,2.08947897,48.60020447,20.09681129,47.54322052,74.19450378,34.35785675,13.17765522,67.97481537,45.55437469,51.91498184,93.49626923,21.93515205,9.542169571,10.41605186
24,31.03252602,70.53002167,63.74927902,30.99763489,96.85916138,22.93528557,49.3513031,76.53039551,45.88763046,65.48508453,27.91684341,48.40876007,28.59559631,67.30960083,59.78948593,39.22124863,42.08929443
25,72.92774963,41.17728424,31.42199135,10.39364529,74.836586,61.13529587,34.64063263,0,46.26121902,35.76048279,18.68040276,20.59729576,37.14800644,42.854496,3.279971361,9.129507065,32.99658585
26,41.46471786,39.37234497,64.9287796,72.90631104,30.16967392,20.18844604,38.79436874,8.387793541,40.35734177,12.65411663,36.67974854,32.80194473,60.20048904,10.29405689,24.7910862,9.21878624,8.597333908
27,21.8125782,11.38686562,19.31492805,45.95658112,15.71477985,66.7468338,0,44.64957809,6.586894989,10.14003754,9.261394501,47.01981735,32.48287582,37.53703308,43.37293625,11.37450981,33.83826065
28,15.41646671,40.90097809,30.30610466,12.31590748,0,46.60923767,25.85454369,47.91955566,20.50487709,14.32937241,77.71795654,29.23175621,56.34224319,80.53514099,26.40029907,3.188338041,38.07671738
29,52.24773407,51.51215744,55.76932907,0,67.87800598,0,43.09301376,75.93773651,26.03278542,37.67226791,31.50263214,48.56608963,62.3769722,51.92034149,40.40461349,42.5881691,20.66420555
30,54.85969162,52.46151733,15.35706234,54.71718979,118.0392532,64.65386963,32.00642014,16.49991798,63.96163177,42.806427,19.55831718,26.93975449,49.75582504,32.93241119,37.48846817,6.382302284,40.71991348
31,45.34618759,5.807321548,35.23300934,94.15522003,79.55709839,43.4293251,68.4855423,44.98088837,29.13437843,17.45945549,30.72683907,52.19957733,124.7551498,0,0,0,35.54304504
32,58.62871933,58.3401947,0,96.63200378,40.4595108,72.33020782,0,94.32135773,63.14618301,12.02787876,49.60759735,58.2857933,26.80893326,38.16048813,78.40830994,3.389944792,59.0440712
33,23.65731812,12.52118206,39.44215012,9.589422226,66.06641388,53.44190979,60.6398468,100.7655869,0,35.50263214,72.41436005,112.0732498,67.670784,100.1573563,0,0,59.48806763
34,48.08453369,93.8814621,71.43792725,47.54017639,110.5688248,8.871837616,25.89617538,52.84174728,61.13318634,80.45527649,122.9945374,35.69870377,89.2071991,60.52200317,74.08957672,24.32282639,70.22862244
35,67.97078705,59.67073822,65.52423096,39.35910034,79.74887848,61.89025497,64.90701294,57.89599991,9.393335342,64.78135681,0,40.0823288,11.17293835,20.95261383,9.209462166,36.09762573,75.61090088
36,72.05292511,65.2008667,65.11206818,72.18349457,32.05979919,72.04173279,14.23340988,7.547119141,69.54116058,27.23238945,66.07355499,58.63908768,25.43825531,57.15125275,19.94583893,0,18.02882385
37,23.72365952,25.44406509,96.78902435,40.5913887,39.77080154,36.5005188,0,38.96180344,0,29.32842255,11.59246159,53.53640747,51.39512253,52.83159256,59.66616058,34.07312012,25.42364883
38,61.31292343,69.55413818,23.72821236,9.489134789,45.94443893,74.23376465,0,23.61420059,23.49407768,24.94524956,40.86348343,24.13522148,120.3742142,93.69154358,34.39714813,0,14.06998348
39,42.13373566,118.3177109,101.5006866,56.35744476,33.98592758,20.02401924,90.75171661,98.74015045,23.07773781,12.51350212,33.24226379,6.20340538,81.29051208,55.98090744,48.33777618,49.4798317,29.03542519
