,regularizer1,regularizer2,epochs,price_r_score,return_r_score,price_mse,return_mse
0,0.0,0.0,50.0,0.2861213124851426,0.0005561219287312236,5.2624944859165866e-05,3.9670773536782396e-05
1,0.0,0.01,50.0,0.36847145294253425,-0.0037612867574183806,3.624085038992627e-05,2.6808297652912915e-05
2,0.0,0.05,50.0,0.28330481694495235,-0.013063163026174829,5.1424393284514805e-05,3.920989466659748e-05
3,0.0,0.1,50.0,0.38730287791352547,-0.006921977181009176,3.213593868329464e-05,2.4531097606278385e-05
4,0.0,0.3,50.0,0.4521658915018725,-0.010013941319784836,2.4557213634567585e-05,1.841145354005344e-05
5,0.0,0.5,50.0,0.6715145850900879,-0.011258476074623713,9.952537419304695e-06,7.660340734786514e-06
6,0.01,0.0,50.0,0.6490413401979814,-0.006383775234274136,1.092976987548359e-05,8.158565159016076e-06
7,0.01,0.01,50.0,0.5839177639802603,-0.008461198901563716,1.4707188313631405e-05,1.0998684385012865e-05
8,0.01,0.05,50.0,0.3549280909755681,-0.004120825742414347,3.696106445505686e-05,2.8021849249661058e-05
9,0.01,0.1,50.0,0.5660128920602767,-0.006970311469509438,1.5243642688560497e-05,1.1447846440776703e-05
10,0.01,0.3,50.0,0.7300946753330693,-0.016485178820772495,7.471356368319598e-06,5.684802577425628e-06
11,0.01,0.5,50.0,0.7706718187425562,-0.03147498633638901,5.975241259910247e-06,4.514746962772215e-06
12,0.05,0.0,50.0,0.2822477048187674,-0.0017237987008877909,5.041279779490821e-05,3.662045133673556e-05
13,0.05,0.01,50.0,0.5198756415481133,-0.004397013737526878,1.8762819650065913e-05,1.4165209946847756e-05
14,0.05,0.05,50.0,0.5242618787361598,-0.013808557528551368,1.8238030696129622e-05,1.376676333298648e-05
15,0.05,0.1,50.0,0.5748477034219714,-0.0074639336379285215,1.5290428642659284e-05,1.1455499314369161e-05
16,0.05,0.3,50.0,0.7561287474275551,-0.018166048223491105,6.546253377191767e-06,5.034493492604822e-06
17,0.05,0.5,50.0,0.8721273000182159,-0.03976292362231537,3.007541458380615e-06,2.3394005485851184e-06
18,0.1,0.0,50.0,0.44654502164603715,-0.006175727392981445,2.4562696979439474e-05,1.8444599769909656e-05
