,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.5367053,-0.292501,-0.49755985,0.591048,0.1824846,-0.47996518,0.32649165,-0.40338293,-0.8421884,-0.29800785,-0.39216533,0.4106645,0.020922024,-0.6255626,0.20377658,0.46082255,-0.22138946,-0.3424929,0.35291454,-0.09250219
1,0.3501011,-0.20820013,-0.34799638,-0.4973639,0.326076,-0.16324845,0.15942998,-0.04867792,0.5792396,-0.026748482,0.20138234,-0.28810704,-0.044579893,0.3457273,-0.15860645,-0.4703658,0.16949368,0.27476013,-0.278347,0.29034084
2,-0.26102164,-0.1464162,0.54280794,-0.22694288,-0.12562016,0.4633577,-0.025251208,0.2756667,0.041479703,-0.36880708,0.10687665,0.123290874,-0.24646674,-0.011293077,0.01591027,0.40576974,-0.39835563,0.07944336,0.3317692,0.4416642
3,-0.2878599,0.054871272,0.48569238,0.07605708,-0.53458315,-0.16116384,0.08414716,-0.050268304,0.08924444,0.25933418,0.4948249,-0.16980778,0.11809946,0.19042653,-0.17067766,-0.44639036,0.09787055,0.12615533,0.23718387,-0.59217966
4,0.031062448,0.19332205,-0.060582418,0.7331327,0.14823313,0.247422,-0.21062477,0.2611682,-0.1482733,0.2200124,0.004554707,-0.23464599,-0.20106058,0.16142167,0.46203163,-0.33205217,0.16320279,-0.13301592,-0.46074724,0.12582967
5,-0.20429243,0.17593955,-0.0154453395,0.58734417,0.28766787,-0.04108107,0.065846436,0.17215721,0.103137344,-0.25196993,-0.37731877,0.4860136,0.4772722,0.21405467,-0.17777532,-0.03664041,0.6284581,0.009677879,0.32064956,0.4286697
6,-0.026347075,-0.09495242,-0.27054513,-0.41067895,-0.69198596,0.1732899,0.075265795,-0.45070806,0.3159215,-0.20010363,-0.013851755,0.27657962,-0.039181404,0.33551177,-0.14807442,0.42728758,0.14933723,0.23676166,-0.508142,-0.5861391
7,0.38646698,0.3308517,-0.2940046,-0.15694745,0.14180844,0.00900434,0.32383293,-0.5187779,0.020760346,-0.40479478,-0.21063578,-0.4936092,0.2442588,-0.42133275,0.5013464,0.39230338,-0.4613967,-0.6664634,0.08351375,0.044059068
8,0.5888959,0.44367123,0.19051132,-0.51158816,0.30393597,0.22651984,-0.44715005,0.50090325,0.27462873,0.25291425,-0.027850319,-0.030759336,0.24837303,-0.22438912,-0.08643221,0.02003404,-0.42810476,-0.4919282,0.33773354,0.5218735
9,0.0014787014,-0.06714347,-0.21913774,-0.25037587,-0.19677141,-0.21651939,-0.43387678,0.059516937,-0.5657541,0.46757632,0.23320863,0.51797634,-0.2918668,-0.2148802,-0.47105166,0.23731197,-0.21829037,-0.019826097,-0.03535593,-0.43723843
10,-0.16199632,-0.23622975,-0.21046719,0.3355014,0.30252054,-0.34345543,0.25876227,-0.3826654,-0.4674165,-0.08216858,0.063893184,-0.23877423,-0.59380317,-0.13270284,0.012570665,-0.063801885,0.15409541,0.3732636,-0.17076111,-0.18363413
11,-0.25550187,-0.33835575,0.26091906,-0.05042799,0.3741383,-0.05898798,0.2754882,0.38748658,0.3510057,-0.016453067,-0.3505924,-0.42043123,-0.10220704,-0.029366223,0.08430326,-0.40277904,0.24706171,0.4901892,0.19664904,0.4948281
12,-0.15669453,-0.33190012,-0.11339554,-0.35304374,-0.21140832,-0.11413083,0.0030572216,0.2671878,0.44248185,0.2863298,-0.055246763,0.042771455,0.16611502,0.27286124,-0.23759623,-0.3993236,0.26286116,0.41135487,-0.17770042,-0.072163425
13,0.021329178,-0.024498226,-0.18128523,0.112162024,-0.047968064,0.10129389,0.13140479,-0.24129741,0.019745264,-0.30498374,0.10005378,0.03951776,-0.1228569,0.16516334,0.106327996,0.16117425,-0.008429492,-0.015852828,-0.2575271,0.033147678
14,0.004260555,0.033935633,0.07322869,-0.16788438,0.018814595,0.07340688,0.15235011,0.031802718,0.13001494,-0.2407533,-0.05304852,-0.06930411,0.24775894,-0.11926337,0.12388719,0.13071044,-0.24707876,-0.26656386,0.2695832,0.25300792
15,0.15642235,0.25265154,0.33778214,-0.12724942,-0.2947212,0.21276173,-0.22329216,0.120788164,0.1476769,0.08659562,0.3833397,0.0588162,-0.0057167453,0.18678838,-0.13843717,-0.039595306,-0.116735674,-0.100934654,0.054582067,-0.13303973
16,-0.11369554,0.11301909,-0.010760615,0.41805255,-0.077785216,-0.020534974,-0.1029804,0.0117446575,-0.39690956,0.14183308,0.019449515,0.050311692,-0.055642642,-0.16325462,0.15835564,0.058893673,-0.088464074,-0.21405534,-0.04064815,-0.19439699
17,0.007876384,0.23781054,0.13933122,0.45065892,0.14446226,0.0028551884,-0.004648415,0.04887356,0.04194541,-0.04527065,0.006680878,0.034829058,3.0664723e-05,0.18948454,-0.07527689,-0.1940339,0.43847775,0.13120334,0.044006355,0.08768771
18,-0.16199024,-0.1068416,-0.18373038,0.03077254,-0.20627585,0.026685491,0.04642858,-0.00608996,0.06331099,0.031077523,-0.34030566,0.079297885,0.046613056,-0.0058982857,0.042936902,0.12772024,0.16923888,0.14202666,-0.21043973,-0.12993811
19,0.2369405,0.18981165,-0.2361404,-0.08722871,0.025479002,-0.07777415,0.18413754,-0.2974693,0.2424811,-0.18689205,-0.09954527,-0.12664264,0.15613605,0.046252035,0.008380598,0.043583207,0.1627209,-0.11642507,-0.062089346,-0.04333934
20,0.2625582,0.099387825,-0.1417864,-0.3873432,0.021681981,0.15885912,-0.091586374,0.04306959,0.09213818,-0.031960726,-0.22759491,-0.08147969,0.031715028,-0.24029155,0.117697895,0.32046482,-0.35514757,-0.29480782,-0.02363959,0.18882568
21,0.24772005,0.09671149,-0.16460173,-0.37913743,0.080813214,-0.19477352,-0.10985775,-0.04268022,-0.08100758,0.145845,0.085452855,0.07107332,0.07309688,-0.20415325,-0.21929845,0.057309378,-0.22033475,-0.23487352,0.19425906,-0.03827967
22,0.09129242,-0.102632836,-0.07808464,-0.19511335,0.099346235,-0.019350406,-0.16672292,0.038284305,-0.25440034,0.14293435,0.101224676,-0.020863911,-0.40389553,-0.16015965,-0.072819576,0.11062185,-0.2663288,0.056421,-0.11060159,0.011237991
23,-0.20373453,-0.21644126,0.09719746,0.022277422,0.23543958,-0.24236763,0.13186091,0.10750401,-0.13398534,0.057402533,-0.0035566606,-0.103902146,-0.1599992,-0.11610511,-0.12534285,-0.2233819,0.08438887,0.2552469,0.24152158,0.123446465
24,-0.19767833,-0.23860271,0.19203243,0.0012128951,-0.073374316,0.019526722,0.021065537,0.20626108,0.19759138,0.1309424,0.0772298,-0.123061106,-0.2548153,0.23247835,-0.100959875,-0.32177186,0.23743741,0.4745626,-0.15484972,-0.0010222378
25,-0.25761455,-0.14254047,0.027527604,0.26576656,-0.023418514,-0.054898735,0.20194753,0.042753376,0.09369791,-0.06486953,-0.10703179,-0.08851938,0.05200903,0.10991613,0.08556175,-0.20068906,0.25877056,0.21237731,-0.03895535,0.020951742
26,0.03612106,-0.0047691218,-0.1643444,0.012464329,-0.031633638,0.055136174,0.08109591,0.037542086,0.29277346,-0.08084804,-0.10496307,-0.016732095,0.20979376,0.16487694,0.07962876,-0.09793619,0.13826586,-0.012925992,-0.15957208,0.1219731
27,0.07952714,0.29127303,0.29273683,0.02714879,-0.2314816,0.29297015,-0.01255007,-0.073455155,0.18347335,-0.30664095,0.15475011,0.13820791,0.056861144,0.19776207,-0.05519147,0.24501573,0.030531188,-0.101221375,0.10677669,0.03850034
28,0.032169376,0.13585106,-0.1051163,-0.047272634,-0.30589047,-0.018324593,-0.019049589,-0.110287376,-0.112339415,0.13152793,-0.064934246,-0.077917576,0.1819365,-0.21771143,0.16864602,0.15044303,-0.24913633,-0.3414877,-0.026083121,-0.33539888
